,Pred_An ủi,Pred_Áp dụng,Pred_Ăn,Pred_Ăn mừng,Pred_Ban ngày,Pred_Ban đêm,Pred_Bàn tay,Pred_Băn khoăn,Pred_Bạn thân,Pred_Bế mạc,Pred_Bệnh nhân,Pred_Bệnh viện,Pred_Biết,Pred_Biếu tặng,Pred_Bộ y tế,Pred_Cá,Pred_Cách ly,Pred_Cám dỗ,Pred_Cần,Pred_Cảm ơn,Pred_Chào,Pred_Chân,Pred_Chấp nhận,Pred_Chạy,Pred_Chậm lại,Pred_Chiều,Pred_Cho,Pred_Chúng ta,Pred_Con gấu,Pred_Có thể,Pred_Cơ thể,Pred_Cứu,Pred_Dạy dỗ,Pred_Dễ,Pred_Ghét,Pred_Giúp,Pred_Hâm mộ,Pred_Ho,Pred_Hôm nay,Pred_Họ,Pred_Học sinh,Pred_Hy sinh,Pred_Kết hôn,Pred_Khai báo,Pred_Khẩu trang,Pred_Khóc,Pred_Khu cách ly,Pred_Lây bệnh,Pred_Lo lắng,Pred_Mời vào,Pred_Mua,Pred_Nặng,Pred_Nghe,Pred_Nghỉ ngơi,Pred_Ngón tay,Pred_Nhà,Pred_Nhầm,Pred_Nhìn,Pred_Nhớ,Pred_Nói,Pred_Nói xấu,Pred_Nôn ói,Pred_Ô tô,Pred_Phạt,Pred_Phía sau,Pred_Phỏng vấn,Pred_Phục hồi,Pred_Rau,Pred_Rẽ phải,Pred_Rẽ trái,Pred_San sẻ,Pred_Sốt,Pred_Sử dụng,Pred_Tập luyện,Pred_Thất lạc,Pred_Thăm,Pred_Thích,Pred_Thương,Pred_Thức ăn,Pred_Thức dậy,Pred_Tôi,Pred_Tối,Pred_Trưa,Pred_Trường học,Pred_Uống,Pred_Ủng hộ,Pred_Vâng lời,Pred_Virus,Pred_Xa,Pred_Xe máy,Pred_Xe đạp,Pred_Xin lỗi,Pred_Xin phép,Pred_Xuất viện,Pred_Xúc động,Pred_Đâu,Pred_Đầu,Pred_Đẹp,Pred_Đi,Pred_Đồng ý
True_An ủi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Áp dụng,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Ăn,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Ăn mừng,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Ban ngày,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
True_Ban đêm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Bàn tay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Băn khoăn,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Bạn thân,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Bế mạc,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
