class_index,class_name,accuracy,samples,correct,wrong
1,Áp dụng,1.0,14,14,0
5,Ban đêm,1.0,1,1,0
9,Bế mạc,1.0,5,5,0
13,Biếu tặng,1.0,10,10,0
16,Cách ly,1.0,1,1,0
17,Cám dỗ,1.0,14,14,0
22,Chấp nhận,1.0,1,1,0
23,Chạy,1.0,14,14,0
25,Chiều,1.0,12,12,0
26,Cho,1.0,10,10,0
31,Cứu,1.0,11,11,0
37,Ho,1.0,1,1,0
40,Học sinh,1.0,1,1,0
41,Hy sinh,1.0,9,9,0
42,Kết hôn,1.0,6,6,0
43,Khai báo,1.0,11,11,0
44,Khẩu trang,1.0,2,2,0
46,Khu cách ly,1.0,2,2,0
48,Lo lắng,1.0,1,1,0
51,Nặng,1.0,10,10,0
54,Ngón tay,1.0,1,1,0
56,Nhầm,1.0,1,1,0
58,Nhớ,1.0,11,11,0
59,Nói,1.0,6,6,0
64,Phía sau,1.0,14,14,0
65,Phỏng vấn,1.0,9,9,0
66,Phục hồi,1.0,1,1,0
67,Rau,1.0,15,15,0
75,Thăm,1.0,4,4,0
76,Thích,1.0,2,2,0
79,Thức dậy,1.0,14,14,0
82,Trưa,1.0,11,11,0
83,Trường học,1.0,15,15,0
84,Uống,1.0,5,5,0
86,Vâng lời,1.0,2,2,0
87,Virus,1.0,1,1,0
88,Xa,1.0,13,13,0
91,Xin lỗi,1.0,4,4,0
93,Xuất viện,1.0,10,10,0
95,Đâu,1.0,11,11,0
96,Đầu,1.0,11,11,0
98,Đi,1.0,12,12,0
55,Nhà,0.9286,14,13,1
21,Chân,0.9231,13,12,1
2,Ăn,0.9167,12,11,1
3,Ăn mừng,0.9167,12,11,1
12,Biết,0.9167,12,11,1
15,Cá,0.9167,12,11,1
19,Cảm ơn,0.9167,12,11,1
94,Xúc động,0.9167,12,11,1
28,Con gấu,0.9091,11,10,1
78,Thức ăn,0.9091,11,10,1
99,Đồng ý,0.9091,11,10,1
36,Hâm mộ,0.9,10,9,1
47,Lây bệnh,0.9,10,9,1
80,Tôi,0.9,10,9,1
35,Giúp,0.8889,9,8,1
61,Nôn ói,0.8889,9,8,1
70,San sẻ,0.8889,9,8,1
32,Dạy dỗ,0.875,8,7,1
92,Xin phép,0.875,8,7,1
45,Khóc,0.8571,14,12,2
60,Nói xấu,0.8571,14,12,2
69,Rẽ trái,0.8462,13,11,2
11,Bệnh viện,0.8,10,8,2
38,Hôm nay,0.8,5,4,1
81,Tối,0.8,5,4,1
52,Nghe,0.7857,14,11,3
53,Nghỉ ngơi,0.7857,14,11,3
7,Băn khoăn,0.7778,9,7,2
62,Ô tô,0.7778,9,7,2
57,Nhìn,0.75,12,9,3
49,Mời vào,0.7273,11,8,3
24,Chậm lại,0.7143,14,10,4
63,Phạt,0.7143,7,5,2
33,Dễ,0.7,10,7,3
0,An ủi,0.6667,6,4,2
8,Bạn thân,0.6667,3,2,1
14,Bộ y tế,0.6667,3,2,1
34,Ghét,0.6667,6,4,2
68,Rẽ phải,0.6667,3,2,1
72,Sử dụng,0.6667,12,8,4
90,Xe đạp,0.6667,3,2,1
4,Ban ngày,0.6,5,3,2
39,Họ,0.6,10,6,4
74,Thất lạc,0.6,5,3,2
29,Có thể,0.5,4,2,2
77,Thương,0.5,2,1,1
50,Mua,0.4286,7,3,4
27,Chúng ta,0.3333,3,1,2
97,Đẹp,0.25,4,1,3
20,Chào,0.1429,7,1,6
6,Bàn tay,0.0,2,0,2
10,Bệnh nhân,0.0,1,0,1
18,Cần,0.0,1,0,1
30,Cơ thể,0.0,1,0,1
71,Sốt,0.0,1,0,1
73,Tập luyện,0.0,2,0,2
85,Ủng hộ,0.0,1,0,1
89,Xe máy,0.0,1,0,1
